BuildingID,Area,YearBuilt,Material,RegionID,EstimatedEnergyUse
B001,94,1993,Wood,R05,12482
B002,111,2009,Brick,R01,6911
B003,89,2014,Concrete,R02,8203
B004,136,1991,Steel,R01,5822
B005,177,1989,Steel,R01,9032
B006,147,2018,Brick,R05,11353
B007,175,1980,Wood,R05,12172
B008,120,2009,Brick,R05,14135
B009,111,2014,Wood,R01,8438
B010,111,2012,Steel,R01,9789
B011,155,1980,Concrete,R05,10180
B012,177,2015,Brick,R03,14140
B013,137,1997,Wood,R05,8928
B014,80,1987,Steel,R03,13900
B015,134,1986,Brick,R02,10392
B016,179,1985,Concrete,R01,10774
B017,128,2009,Steel,R02,9347
B018,129,2012,Steel,R01,8178
B019,180,1995,Wood,R02,7805
B020,147,1980,Steel,R04,9016
B021,119,1984,Brick,R02,7872
B022,112,1981,Steel,R01,8937
B023,131,2005,Brick,R01,14678
B024,126,2010,Concrete,R03,12770
B025,116,1989,Brick,R04,10947
B026,130,1981,Steel,R01,13280
B027,135,1989,Wood,R05,14889
B028,116,1982,Steel,R04,11936
B029,174,2008,Wood,R03,12229
B030,126,1981,Concrete,R01,13449
B031,94,1980,Concrete,R04,8471
B032,165,1993,Wood,R02,7592
B033,152,1984,Wood,R05,11756
B034,143,1982,Brick,R05,6903
B035,122,2017,Steel,R02,12330
B036,80,2012,Concrete,R01,8316
B037,175,1984,Wood,R05,13223
B038,136,2010,Concrete,R03,7488
B039,114,2001,Concrete,R05,10129
B040,117,1985,Wood,R05,13385
B041,178,1983,Wood,R04,14124
B042,149,2008,Steel,R05,7645
B043,99,2001,Wood,R03,13742
B044,133,2001,Wood,R02,10562
B045,171,1996,Concrete,R02,9537
B046,122,2005,Brick,R05,5903
B047,93,2017,Concrete,R04,12731
B048,134,1983,Steel,R02,6257
B049,90,1987,Concrete,R04,12067
B050,140,2013,Steel,R05,6160
